shape,x,y,r
c,34,25,31.622776601683793
c,4,2,25.059928172283335
c,5,52,26.832815729997478
c,2,100,26.0
c,36,58,26.832815729997478
c,64,81,32.55764119219941
c,32,93,25.612496949731394
c,38,123,31.240998703626616
c,46,162,35.38361202590826
c,13,169,26.832815729997478
c,1,138,21.633307652783937
c,29,209,28.42534080710379
c,2,224,13.416407864998739
c,29,251,31.304951684997057
c,65,264,32.55764119219941
c,32,288,35.608987629529715
c,66,302,32.55764119219941
c,55,334,23.323807579381203
c,34,361,31.622776601683793
c,3,317,30.528675044947494
c,16,329,26.90724809414742
c,2,361,23.40939982143925
c,10,399,27.202941017470888
c,0,445,30.265491900843113
c,34,455,28.42534080710379
c,62,471,28.635642126552707
c,53,399,32.55764119219941
c,60,3,23.323807579381203
c,102,3,26.832815729997478
c,78,30,32.802438933713454
c,95,59,26.076809620810597
c,72,113,27.202941017470888
c,87,150,27.784887978899608
c,83,183,28.844410203711913
c,68,210,26.076809620810597
c,94,240,32.802438933713454
c,103,288,34.40930106817051
c,121,312,21.2602916254693
c,82,355,30.528675044947494
c,115,347,28.635642126552707
c,96,382,26.0
c,126,378,28.284271247461902
c,92,412,31.11269837220809
c,65,437,30.463092423455635
c,85,445,24.08318915758459
c,99,471,27.202941017470888
c,122,445,34.52535300326414
c,122,414,10.198039027185569
c,149,406,39.698866482558415
c,160,444,33.28663395418648
c,130,259,32.55764119219941
c,159,286,34.058772731852805
c,174,319,31.240998703626616
c,152,349,30.528675044947494
c,162,360,18.439088914585774
c,193,371,36.87817782917155
c,187,418,28.42534080710379
c,222,422,28.844410203711913
c,193,454,26.90724809414742
c,175,479,27.202941017470888
c,219,478,31.622776601683793
c,260,477,30.0
c,120,33,23.40939982143925
c,151,13,32.55764119219941
c,129,75,31.240998703626616
c,113,110,30.0
c,146,105,28.844410203711913
c,118,180,26.832815729997478
c,129,220,31.622776601683793
c,126,143,25.612496949731394
c,155,135,29.732137494637012
c,153,186,31.304951684997057
c,163,229,34.0
c,190,255,30.0
c,157,60,24.08318915758459
c,189,4,27.202941017470888
c,192,51,34.058772731852805
c,180,92,31.11269837220809
c,213,125,38.41874542459709
c,232,8,34.058772731852805
c,236,47,34.058772731852805
c,228,87,29.5296461204668
c,269,73,33.94112549695428
c,268,119,36.87817782917155
c,187,167,26.076809620810597
c,216,184,29.5296461204668
c,182,197,21.633307652783937
c,200,219,27.784887978899608
c,243,169,26.832815729997478
c,231,209,25.612496949731394
c,225,242,31.240998703626616
c,216,279,32.55764119219941
c,208,315,31.240998703626616
c,231,340,29.732137494637012
c,233,383,28.635642126552707
c,254,407,31.304951684997057
c,270,28,34.17601498127012
c,299,15,29.732137494637012
c,318,49,36.05551275463989
c,315,88,35.38361202590826
c,317,124,24.413111231467404
c,291,159,26.90724809414742
c,328,157,30.0
c,264,214,35.608987629529715
c,297,196,26.832815729997478
c,328,192,28.635642126552707
c,255,253,26.90724809414742
c,256,291,34.058772731852805
c,247,313,12.649110640673518
c,265,332,29.732137494637012
c,277,370,30.528675044947494
c,294,412,33.28663395418648
c,272,442,34.17601498127012
c,301,467,27.202941017470888
c,332,8,26.68332812825267
c,362,22,32.2490309931942
c,349,58,21.540659228538015
c,357,91,31.04834939252005
c,366,133,31.240998703626616
c,360,183,30.528675044947494
c,353,219,32.31098884280702
c,304,236,33.28663395418648
c,293,273,29.732137494637012
c,296,311,28.42534080710379
c,304,344,29.732137494637012
c,324,383,33.28663395418648
c,332,425,30.528675044947494
c,337,466,29.732137494637012
c,353,441,18.439088914585774
c,378,424,34.058772731852805
c,373,462,29.732137494637012
c,412,475,34.058772731852805
c,448,479,26.0
c,467,451,32.802438933713454
c,416,436,34.9857113690718
c,327,263,26.076809620810597
c,359,265,26.90724809414742
c,329,302,35.77708763999664
c,345,347,38.2099463490856
c,384,324,38.41874542459709
c,372,378,26.90724809414742
c,382,361,24.413111231467404
c,408,386,31.622776601683793
c,414,27,30.463092423455635
c,448,3,29.732137494637012
c,404,2,14.142135623730951
c,389,60,32.55764119219941
c,451,45,28.42534080710379
c,464,81,32.55764119219941
c,425,80,32.55764119219941
c,395,106,37.73592452822641
c,476,118,33.52610922848042
c,443,111,28.42534080710379
c,409,140,34.40930106817051
c,446,148,32.802438933713454
c,398,175,34.058772731852805
c,434,182,31.304951684997057
c,393,211,30.0
c,381,242,28.071337695236398
c,383,281,24.08318915758459
c,412,299,30.528675044947494
c,419,346,31.240998703626616
c,459,415,29.732137494637012
c,459,380,32.55764119219941
c,462,353,14.560219778561036
c,434,225,34.40930106817051
c,410,255,28.284271247461902
c,441,275,32.55764119219941
c,475,326,28.635642126552707
c,445,308,30.528675044947494
c,458,248,25.059928172283335
c,477,221,32.55764119219941
c,478,184,25.059928172283335
c,479,153,22.627416997969522
c,1,262,20.396078054371138
